candidate,bin,lower,upper,records,mean_probability,observed_pathogenic_fraction,evidence_generation
elastic_net_logistic,1,0.0,0.1,414,0.024181763960365883,0.00966183574879227,authenticated_family_trial
elastic_net_logistic,2,0.1,0.2,229,0.14014560533127995,0.017467248908296942,authenticated_family_trial
elastic_net_logistic,3,0.2,0.30000000000000004,41,0.2532893741972904,0.0975609756097561,authenticated_family_trial
elastic_net_logistic,4,0.30000000000000004,0.4,31,0.3594740698768643,0.3225806451612903,authenticated_family_trial
elastic_net_logistic,5,0.4,0.5,53,0.4478988946264344,0.18867924528301888,authenticated_family_trial
elastic_net_logistic,6,0.5,0.6000000000000001,27,0.538967831912291,0.18518518518518517,authenticated_family_trial
elastic_net_logistic,7,0.6000000000000001,0.7000000000000001,37,0.641244767186596,0.4864864864864865,authenticated_family_trial
elastic_net_logistic,8,0.7000000000000001,0.8,35,0.7415328619369751,0.34285714285714286,authenticated_family_trial
elastic_net_logistic,9,0.8,0.9,22,0.8486718553739305,0.6818181818181818,authenticated_family_trial
elastic_net_logistic,10,0.9,1.0,111,0.9751744064060925,0.9369369369369369,authenticated_family_trial
calibrated_elastic_net_logistic,1,0.0,0.1,661,0.020881585060023303,0.01361573373676248,authenticated_family_trial
calibrated_elastic_net_logistic,2,0.1,0.2,68,0.15785909247189925,0.20588235294117646,authenticated_family_trial
calibrated_elastic_net_logistic,3,0.2,0.30000000000000004,47,0.23675863522502877,0.19148936170212766,authenticated_family_trial
calibrated_elastic_net_logistic,4,0.30000000000000004,0.4,38,0.3441375303347293,0.42105263157894735,authenticated_family_trial
calibrated_elastic_net_logistic,5,0.4,0.5,32,0.4514465161837194,0.375,authenticated_family_trial
calibrated_elastic_net_logistic,6,0.5,0.6000000000000001,18,0.5396859138384648,0.3888888888888889,authenticated_family_trial
calibrated_elastic_net_logistic,7,0.6000000000000001,0.7000000000000001,15,0.6437166355261794,0.6,authenticated_family_trial
calibrated_elastic_net_logistic,8,0.7000000000000001,0.8,11,0.7256731940441917,0.6363636363636364,authenticated_family_trial
calibrated_elastic_net_logistic,9,0.8,0.9,7,0.848036213180854,0.5714285714285714,authenticated_family_trial
calibrated_elastic_net_logistic,10,0.9,1.0,103,0.9687851905874718,0.9611650485436893,authenticated_family_trial
hist_gradient_boosting,1,0.0,0.1,641,0.02985490894739224,0.0093603744149766,authenticated_family_trial
hist_gradient_boosting,2,0.1,0.2,64,0.1555397597698696,0.1875,authenticated_family_trial
hist_gradient_boosting,3,0.2,0.30000000000000004,62,0.2573276699061519,0.20967741935483872,authenticated_family_trial
hist_gradient_boosting,4,0.30000000000000004,0.4,38,0.3524920005165901,0.2894736842105263,authenticated_family_trial
hist_gradient_boosting,5,0.4,0.5,25,0.43824720474709855,0.28,authenticated_family_trial
hist_gradient_boosting,6,0.5,0.6000000000000001,26,0.5433824003174363,0.5769230769230769,authenticated_family_trial
hist_gradient_boosting,7,0.6000000000000001,0.7000000000000001,31,0.643471493395411,0.5161290322580645,authenticated_family_trial
hist_gradient_boosting,8,0.7000000000000001,0.8,9,0.724356802444103,0.6666666666666666,authenticated_family_trial
hist_gradient_boosting,9,0.8,0.9,18,0.8738081034323352,0.9444444444444444,authenticated_family_trial
hist_gradient_boosting,10,0.9,1.0,86,0.9533011928809578,0.9651162790697675,authenticated_family_trial
calibrated_hist_gradient_boosting,1,0.0,0.1,677,0.017092099963261026,0.01624815361890694,authenticated_family_trial
calibrated_hist_gradient_boosting,2,0.1,0.2,57,0.14553768360865957,0.21052631578947367,authenticated_family_trial
calibrated_hist_gradient_boosting,3,0.2,0.30000000000000004,50,0.2455005499703868,0.24,authenticated_family_trial
calibrated_hist_gradient_boosting,4,0.30000000000000004,0.4,32,0.3525409461155343,0.28125,authenticated_family_trial
calibrated_hist_gradient_boosting,5,0.4,0.5,16,0.4511926536399853,0.4375,authenticated_family_trial
calibrated_hist_gradient_boosting,6,0.5,0.6000000000000001,22,0.5388165889031131,0.5909090909090909,authenticated_family_trial
calibrated_hist_gradient_boosting,7,0.6000000000000001,0.7000000000000001,24,0.6509231021881665,0.5416666666666666,authenticated_family_trial
calibrated_hist_gradient_boosting,8,0.7000000000000001,0.8,15,0.7395538432037905,0.4666666666666667,authenticated_family_trial
calibrated_hist_gradient_boosting,9,0.8,0.9,6,0.8350821371585839,0.8333333333333334,authenticated_family_trial
calibrated_hist_gradient_boosting,10,0.9,1.0,101,0.9668489303366776,0.9603960396039604,authenticated_family_trial
random_forest,1,0.0,0.1,355,0.03147538128977426,0.0,authenticated_family_trial
random_forest,2,0.1,0.2,275,0.1333060903461612,0.01818181818181818,authenticated_family_trial
random_forest,3,0.2,0.30000000000000004,19,0.2529584925187461,0.05263157894736842,authenticated_family_trial
random_forest,4,0.30000000000000004,0.4,39,0.35671201507284284,0.1282051282051282,authenticated_family_trial
random_forest,5,0.4,0.5,70,0.45041308205873554,0.2,authenticated_family_trial
random_forest,6,0.5,0.6000000000000001,52,0.5441084505556352,0.34615384615384615,authenticated_family_trial
random_forest,7,0.6000000000000001,0.7000000000000001,26,0.6541014995239582,0.34615384615384615,authenticated_family_trial
random_forest,8,0.7000000000000001,0.8,30,0.7525427498490337,0.5,authenticated_family_trial
random_forest,9,0.8,0.9,41,0.8471220988008713,0.7073170731707317,authenticated_family_trial
random_forest,10,0.9,1.0,93,0.9596153746939885,0.967741935483871,authenticated_family_trial
extra_trees,1,0.0,0.1,454,0.03438812994957701,0.006607929515418502,authenticated_family_trial
extra_trees,2,0.1,0.2,200,0.15187167166160653,0.015,authenticated_family_trial
