candidate,status,selected,training_regime,feature_set,feature_count,records,coverage,component_weighted_balanced_accuracy,balanced_accuracy,accuracy,macro_f1,pathogenic_recall,benign_recall,roc_auc,average_precision,brier_score,fold_min_component_weighted_ba,fold_max_component_weighted_ba,warning
elastic_net_logistic,family_specific_diagnostic,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8849828550185548,0.8690721513302158,0.851,0.796645607886329,0.8978494623655914,0.8402948402948403,0.946870624289979,0.8400168996329888,0.07717780318593899,0.8420601655348048,0.9159229984701682,
calibrated_elastic_net_logistic,family_specific_diagnostic,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8856937891860508,0.8703006525587171,0.853,0.7988062504191537,0.8978494623655914,0.8427518427518428,0.9451731790441467,0.8379701584859216,0.062117177731384685,0.8457608234295415,0.9159229984701682,
hist_gradient_boosting,family_specific_diagnostic,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8805237808451278,0.8653866476447121,0.845,0.7902227563647093,0.8978494623655914,0.8329238329238329,0.9526729808987873,0.85657017833458,0.06053260890493016,0.8554749398698358,0.896298708608739,
calibrated_hist_gradient_boosting,family_specific_diagnostic,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8784929299213269,0.8671501413436897,0.858,0.802530941454596,0.8817204301075269,0.8525798525798526,0.9527489366199042,0.8547990965393736,0.061093297816192015,0.8626821590265987,0.896322831733166,
random_forest,family_specific_diagnostic,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8999211107166738,0.8836622546299966,0.868,0.8164372131831457,0.9086021505376344,0.8587223587223587,0.958683390135003,0.8621569591873608,0.07633740169978591,0.8692496109224674,0.9225706447256157,
extra_trees,family_specific_diagnostic,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8954343536447662,0.8865023381152413,0.876,0.8249576510446075,0.9032258064516129,0.8697788697788698,0.9570090618477715,0.8639477687977423,0.07003447565790906,0.8741325339558573,0.9023850838527783,
linear_svm,family_specific_diagnostic,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8772772935752647,0.8592375366568915,0.862,0.8039950913553313,0.8548387096774194,0.8636363636363636,0.9437927663734116,0.8316761542427658,0.06476235513916127,0.8457608234295415,0.9047548243377439,
small_mlp,invalid_protocol_mismatch_not_ranked,False,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.880698232747644,0.8654593009431719,0.862,0.8057858916116394,0.8709677419354839,0.85995085995086,0.9503447729254181,0.8642820644742798,0.060659838184237556,0.8457608234295415,0.894258165812287,Record-level early stopping did not preserve components; excluded from family selection.
consequence_only,baseline,False,,,,1000,,0.8428603087085383,0.8349779398166495,0.809,0.7508839706225683,0.8763440860215054,0.7936117936117936,0.8349779398166496,0.4545531299743365,0.191,,,
majority,baseline,False,,,,1000,,0.5,0.5,0.814,0.4487320837927233,0.0,1.0,0.5,0.186,0.186,,,
clue_score_coverage_only,coverage_baseline_not_ranked,False,,,,450,0.45,0.9944963308872582,0.9943181818181819,0.9911111111111112,0.9871428571428571,1.0,0.9886363636363636,0.9943181818181819,0.9607843137254902,0.008888888888888889,,,Coverage-conditioned; abstains are not errors.
nested_family_selection_procedure,selected_internal_validation_procedure,True,v8_development_plus_opened_outer_training,all_allowed_non_leaky,64,1000,,0.8938749515640781,0.8838141660722305,0.875,0.8232763434885815,0.8978494623655914,0.8697788697788698,0.9567778922617634,0.8654386346668596,0.07362984090866574,0.8741325339558573,0.9023850838527783,Fully nested estimate; outer folds selected different families.
