test_set,model,records,accuracy,balanced_accuracy,macro_f1,coverage,actual_benign,actual_pathogenic,benign_recall,pathogenic_recall,provenance,warning
V4,V4,100,0.76,0.625,0.625,1.0,68,32,1.0,0.25,recorded predictions,Small internal test (n=100): estimates are uncertain and are not independent temporal or clinical validation.
V4,majority,100,0.68,0.5,0.40476190476190477,1.0,68,32,1.0,0.0,deterministic baseline on same IDs,Small internal test (n=100): estimates are uncertain and are not independent temporal or clinical validation.
V4,seeded_random_stratified,100,0.56,0.4944852941176471,0.4944852941176471,1.0,68,32,0.6764705882352942,0.3125,deterministic baseline on same IDs,Small internal test (n=100): estimates are uncertain and are not independent temporal or clinical validation.
V4,V2_clue_baseline,88,0.75,0.8022988505747126,0.7479166666666668,0.88,58,30,0.6379310344827587,0.9666666666666667,recorded V2 predictions on same IDs; no-predictions excluded,Coverage is reported because V2 can abstain.
V5,V5,100,0.82,0.8219780219780219,0.8089983022071308,1.0,65,35,0.8153846153846154,0.8285714285714286,recorded predictions,Small internal test (n=100): estimates are uncertain and are not independent temporal or clinical validation.
V5,majority,100,0.65,0.5,0.393939393939394,1.0,65,35,1.0,0.0,deterministic baseline on same IDs,Small internal test (n=100): estimates are uncertain and are not independent temporal or clinical validation.
V5,seeded_random_stratified,100,0.54,0.4945054945054945,0.4945054945054945,1.0,65,35,0.6461538461538462,0.34285714285714286,deterministic baseline on same IDs,Small internal test (n=100): estimates are uncertain and are not independent temporal or clinical validation.
V5,V2_clue_baseline,86,0.7441860465116279,0.7884615384615384,0.743631436314363,0.86,52,34,0.5769230769230769,1.0,recorded V2 predictions on same IDs; no-predictions excluded,Coverage is reported because V2 can abstain.
V6,V6,1000,0.756,0.7435492978780002,0.7293111634738696,1.0,689,311,0.7764876632801161,0.7106109324758842,recorded predictions,"Internal test (n=1,000); larger than V4/V5 but still not independent temporal or clinical validation."
V6,majority,1000,0.689,0.5,0.4079336885731201,1.0,689,311,1.0,0.0,deterministic baseline on same IDs,"Internal test (n=1,000); larger than V4/V5 but still not independent temporal or clinical validation."
V6,seeded_random_stratified,1000,0.59,0.5216516784192571,0.5216516784192571,1.0,689,311,0.7024673439767779,0.3408360128617363,deterministic baseline on same IDs,"Internal test (n=1,000); larger than V4/V5 but still not independent temporal or clinical validation."
V6,V2_clue_baseline,865,0.6901734104046243,0.7608236693428487,0.6900536944337483,0.865,570,295,0.5385964912280702,0.9830508474576272,recorded V2 predictions on same IDs; no-predictions excluded,Coverage is reported because V2 can abstain.
V7,V7,1000,0.785,0.7906832298136646,0.7230348679778067,1.0,805,195,0.7813664596273292,0.8,recorded predictions,"Temporal record-level test (n=1,000); not gene-independent or clinical validation."
V7,majority,1000,0.805,0.5,0.445983379501385,1.0,805,195,1.0,0.0,deterministic baseline on same IDs,"Temporal record-level test (n=1,000); not gene-independent or clinical validation."
V7,seeded_random_stratified,1000,0.676,0.4839942666029623,0.4839942666029623,1.0,805,195,0.7987577639751553,0.16923076923076924,deterministic baseline on same IDs,"Temporal record-level test (n=1,000); not gene-independent or clinical validation."
V8,V8,1000,0.895,0.8712121212121212,0.8403709475124472,1.0,814,186,0.9090909090909091,0.8333333333333334,recorded predictions,"Sealed gene-component-disjoint temporal test (n=1,000); retrospective and not clinical validation."
V8,majority,1000,0.814,0.5,0.4487320837927232,1.0,814,186,1.0,0.0,deterministic baseline on same IDs,"Sealed gene-component-disjoint temporal test (n=1,000); retrospective and not clinical validation."
V8,seeded_random_stratified,1000,0.694,0.4947293334390108,0.4947293334390109,1.0,814,186,0.812039312039312,0.1774193548387097,deterministic baseline on same IDs,"Sealed gene-component-disjoint temporal test (n=1,000); retrospective and not clinical validation."
V8,V7_same_record,1000,0.864,0.8666878021716731,0.8080180688876341,1.0,814,186,0.8624078624078624,0.8709677419354839,frozen V7 model predictions recorded on the same V8 test IDs,The paired V8-minus-V7 balanced-accuracy interval crosses zero; no V8 performance improvement is claimed.
V8,consequence_only,1000,0.809,0.8349779398166495,0.7508839706225684,1.0,814,186,0.7936117936117936,0.8763440860215054,deterministic consequence-only baseline on the same V8 test IDs,"Sealed gene-component-disjoint temporal test (n=1,000); retrospective and not clinical validation."
