variation_id,component_hash,outer_fold
1331473,79b7dc68bbc2227b9e5f9c286bcddb59ef13813b6545989356bf39f58c2f1d70,4
1338214,118b661c20439ab5373f50ef6917246ae63c06b3072ff55c759d30fa0b2995f1,3
1343012,44dac912eafb122038fe118edfa8eb8c8a8b8de3c8f1bd254b6b4e7473cb6406,4
1343755,39904c0e5adc7f2013fdc4e3bd86a4d2d3862a30fe0bf686f51b29255157c120,4
1344492,41b571546a97b9a2ad689e85f983672c564f496457f15978245e29a2e54ae8de,2
1344550,329d6ceade1a6bc15c4df87b3cee1744379c4dff1a5d4f9fb036ba99847c6641,4
1345608,a6a6606b3928ce5bbd5e63eb8a829d24552e93f8e7b701ae46286f9d687d7fd3,0
1346420,3dc43e86e5ca89fa2237473bede66fe94c7719ca16144581bc1f45260cda9346,3
1346886,09c2b2d2f1d4dfef3b0b8bd868f4ee569a26396189a4ff11708937612b3fbe8b,1
1347398,ba08ea4852d6be8470361d76ab2ac873de732882d19f2fe0a20efdb15d535602,4
1347918,26be345c7af2fc8b08f966a4193e22673e989054afb11b70a0bb2d8074d2fad6,2
1348917,8f3861789a621e7d4a46e8c803b5306522decd2628c22b4a19721f319ccdea63,3
1349356,75cff82fa1773b3fd2348a25206c2f5b11cc9f4a452400314d9a9d013cc87776,0
1350364,3f1003fd8f08df3647101e68092653a51f5a365a1fbb7e2fdba64fad35432c2a,0
1350810,9c6d70211eebad466d288d8152f31c6a3f9336843b8eea4318eca7b8ebf54a8f,3
1350915,6dc5e80200983e8e31b36adda7802d096d9933c72fc08bebe7c5aa89a4126df1,2
1351108,894257b15c046dc65499fc6c12cb666b5ed477335732d63828ab510c03ae36a7,2
1354065,f656d0513b52b92852888dc0743e1014304149a3523c74e4fd9b8ec8b2095208,0
1354563,b731a6472f90125fc315e7f455c4d69c3731c06457eef8cdfdba0691a8943bd7,2
1354829,83d4d67f89a4333cc68e419131ce237bcf6a2c5df06a061e093ccd9cddc34ffa,1
1355576,5ff2c532185c12021494a24d6740585ea613ae10ce6c76e604f3e5bf813a6411,0
1356192,e2f76d2b55f9637e7217f46a6b3fa793bd5b71aaeab7fd42783dcc66ff3c6255,2
1356273,3bc641e8ddbe934d5d6816e869c2a6c1d87543f1014bd44df40a0540de177a67,1
1356959,d0a60d14dfe244f081cac2593f2c1fc83f570822bc8d2dcb7ee5835e312ceef6,3
1357408,7af605acd7a666408f6971f6db8c9cc409fb7a000722527df3c4da05a1e991f9,1
1357882,354e0e8e1858d45a1b73d560eae6b5ed1b9d2eb75aee8dee8d55c7e1b6e66c96,3
1357930,8f1fc0665ac85464808fb81236ed7e505ba5cf989f78297a082f54770adc423d,0
1358214,f9ccd3285d81cdb3f20962456ecadaaaa6063d51ecff1d0018351d3dc8a80aff,3
1358800,8326171729468083ddc249c0584847b63d41d6440d3d6a770284926db6c7295a,3
1358885,13c51c40afc54476d48070cab382e50bc330576cd548549d569649784edfcb76,0
1359027,f18d8c908ff09d856754a50a0ad4d235607b65fa967f941f91cdaf27876d2d18,2
1359514,9bf70b69a57be0b0b403dcc2c8c723069e95c9eba0320666b773bbbe18b5028c,3
1359550,8d519a14c074d08ffd2d05ada80c1d84ea0d1551c9c16d1735d0b6c923593a3a,0
